Main SDG,Target Number,Target,Shortened Target,Target Information,Indicator,Indicator Information
No Poverty,1.a.,"Ensure substantial mobilization of resources from diverse channels, including strengthened development cooperation, to ensure that developing countries, especially least developed nations, have sufficient and predictable means to implement comprehensive programs and policies aimed at eradicating poverty in all its dimensions.","Mobilize diverse resources, including development cooperation, to eradicate poverty, particularly in least developed nations.",,1.a.1. Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income,
No Poverty,1.a.,"Ensure substantial mobilization of resources from diverse channels, including strengthened development cooperation, to ensure that developing countries, especially least developed nations, have sufficient and predictable means to implement comprehensive programs and policies aimed at eradicating poverty in all its dimensions.","Mobilize resources, strengthen development cooperation to eradicate poverty in developing countries, especially least developed ones.",,"1.a.2. Proportion of total government spending on essential services (education, health and social protection)",
No Poverty,1.b.,"Establish robust policy frameworks at the national, regional, and international levels that are rooted in pro-poor and gender-responsive development strategies. ",Establish strong pro-poor and gender-responsive policy frameworks at all levels.,"These frameworks should facilitate increased investment in poverty eradication initiatives, aiming to uplift disadvantaged individuals and promote inclusive growth.",1.b.1. Pro-poor public social spending,
Zero Hunger,2.1.,"By 2030, eradicate hunger and ensure that everyone, especially those living in poverty and vulnerable conditions, including infants, has consistent access to safe, nutritious, and adequate food throughout the year.","By 2030, end hunger and ensure access to safe, nutritious food for all, including the impoverished and vulnerable.",,2.1.1. Prevalence of undernourishment,
Zero Hunger,2.1.,"By 2030, eradicate hunger and ensure that everyone, especially those living in poverty and vulnerable conditions, including infants, has consistent access to safe, nutritious, and adequate food throughout the year.","By 2030, end hunger and ensure access to safe, nutritious food for all, including the impoverished and vulnerable.",,"2.1.2. Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",
Zero Hunger,2.2.,"By 2030, eradicate all manifestations of malnutrition, including attaining the internationally agreed-upon goals for reducing stunting and wasting in children under the age of 5 by 2025. Additionally, focus on addressing the nutritional requirements of adolescent girls, pregnant and lactating women, and older individuals.","By 2030, eliminate malnutrition, achieve child nutrition goals by 2025, and address nutrition needs of vulnerable groups.",,2.2.1. Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,
Zero Hunger,2.2.,"By 2030, eradicate all manifestations of malnutrition, including attaining the internationally agreed-upon goals for reducing stunting and wasting in children under the age of 5 by 2025. Additionally, focus on addressing the nutritional requirements of adolescent girls, pregnant and lactating women, and older individuals.","By 2030, eliminate malnutrition, achieve child nutrition goals by 2025, and address nutrition needs of vulnerable groups.",,"2.2.2. Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",
Zero Hunger,2.2.,"By 2030, eradicate all manifestations of malnutrition, including attaining the internationally agreed-upon goals for reducing stunting and wasting in children under the age of 5 by 2025. Additionally, focus on addressing the nutritional requirements of adolescent girls, pregnant and lactating women, and older individuals.","By 2030, eliminate malnutrition, achieve child nutrition goals by 2025, and address nutrition needs of vulnerable groups.",,"2.2.3. Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",
Zero Hunger,2.3.,"By 2030, strive to achieve to double the increase in agricultural productivity and incomes for small-scale food producers, with special emphasis on women, indigenous communities, family farmers, pastoralists, and fishers.","By 2030, double agricultural productivity and incomes for small-scale food producers, with special emphasis on marginalized groups.","This objective should be pursued by ensuring secure and equitable access to land, productive resources, inputs, knowledge, financial services, markets, and opportunities for value addition and non-farm employment.",2.3.1. Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,
Zero Hunger,2.3.,"By 2030, strive to achieve to double the increase in agricultural productivity and incomes for small-scale food producers, with special emphasis on women, indigenous communities, family farmers, pastoralists, and fishers.","By 2030, double agricultural productivity and incomes for small-scale food producers, with special emphasis on marginalized groups.","This objective should be pursued by ensuring secure and equitable access to land, productive resources, inputs, knowledge, financial services, markets, and opportunities for value addition and non-farm employment.","2.3.2. Average income of small-scale food producers, by sex and indigenous status",
Zero Hunger,2.4.,"By 2030, establish sustainable food production systems and adopt resilient agricultural practices that enhance productivity and output. ","By 2030, create sustainable food production systems and resilient agricultural practices.","These practices should contribute to the preservation of ecosystems, and bolster the capacity for adapting to climate change, extreme weather conditions, droughts, floods, and other disasters. Furthermore, there should be ongoing efforts to progressively enhance the quality of land and soil.",2.4.1. Proportion of agricultural area under productive and sustainable agriculture,
Zero Hunger,2.5.,"Safeguard the genetic diversity of seeds, cultivated plants, domesticated animals, and their associated wild species by preserving them in well-managed and diversified seed and plant banks at national, regional, and international levels. Additionally, promote access to genetic resources and the fair and equitable sharing of benefits derived from their utilization, in accordance with internationally agreed agreements and protocols, including the protection of traditional knowledge.","Preserve genetic diversity, promote access to resources, and ensure fair benefits sharing, including traditional knowledge protection.",,2.5.1. Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,
Zero Hunger,2.5.,"Safeguard the genetic diversity of seeds, cultivated plants, domesticated animals, and their associated wild species by preserving them in well-managed and diversified seed and plant banks at national, regional, and international levels. Additionally, promote access to genetic resources and the fair and equitable sharing of benefits derived from their utilization, in accordance with internationally agreed agreements and protocols, including the protection of traditional knowledge.","Preserve genetic diversity, promote access to resources, and ensure fair benefits sharing, including traditional knowledge protection.",,2.5.2. Proportion of local breeds classified as being at risk of extinction,
Zero Hunger,2.a.,"Boost investment, including through intensified international collaboration, in rural infrastructure, agricultural research, extension services, technology advancement, and the preservation of plant and livestock gene banks. ","Increase investment in rural infrastructure, research, technology, and gene banks, with international collaboration.","These efforts aim to enhance agricultural productivity in developing countries, with a special focus on least developed nations.",2.a.1. The agriculture orientation index for government expenditures,
Zero Hunger,2.a.,"Boost investment, including through intensified international collaboration, in rural infrastructure, agricultural research, extension services, technology advancement, and the preservation of plant and livestock gene banks. ","Increase investment in rural infrastructure, research, technology, and gene banks, with international collaboration.","These efforts aim to enhance agricultural productivity in developing countries, with a special focus on least developed nations.",2.a.2. Total official flows (official development assistance plus other official flows) to the agriculture sector,
Zero Hunger,2.b.,"Address and prevent trade restrictions and imbalances in global agricultural markets, including the complete elimination of agricultural export subsidies and export measures that have similar impacts. These actions should align with the objectives of the Doha Development Round.","Eliminate agricultural export subsidies and address trade imbalances, aligning with the Doha Development Round.",,2.b.1. Agricultural export subsidies,
Zero Hunger,2.c.,"Implement measures to ensure the effective operation of food commodity markets and their derivatives, while also enabling timely access to market information, including data on food reserves. These efforts are crucial in mitigating excessive volatility in food prices.",Mitigate food price volatility through effective market operation and access to timely information and food reserves data.,,2.c.1. Indicator of food price anomalies,
Good Health and Well-Being,3.1.,"By 2030, decrease the worldwide maternal mortality ratio to below 70 deaths per 100,000 live births.","Reduce global maternal mortality ratio to below 70 deaths per 100,000 live births by 2030.",,3.1.1. Maternal mortality ratio,
Good Health and Well-Being,3.1.,"By 2030, decrease the worldwide maternal mortality ratio to below 70 deaths per 100,000 live births.","Reduce global maternal mortality ratio to below 70 deaths per 100,000 live births by 2030.",,3.1.2. Proportion of births attended by skilled health personnel,
Good Health and Well-Being,3.2.,"By  2030, achieve the elimination of avoidable deaths among newborns and children under the age of five, with all nations striving to reduce neonatal mortality to a level no higher than 12 per 1,000 live births, and under-five mortality to a level no higher than 25 per 1,000 live births.","By 2030, reduce neonatal mortality to below 12 per 1,000 live births and under-five mortality to below 25 per 1,000 live births.",,3.2.1. Under-five mortality rate,
Good Health and Well-Being,3.2.,"By  2030, achieve the elimination of avoidable deaths among newborns and children under the age of five, with all nations striving to reduce neonatal mortality to a level no higher than 12 per 1,000 live births, and under-five mortality to a level no higher than 25 per 1,000 live births.","By 2030, reduce neonatal mortality to below 12 per 1,000 live births and under-five mortality to below 25 per 1,000 live births.",,3.2.2. Neonatal mortality rate,
Good Health and Well-Being,3.3.,"By  2030, put an end to the epidemics of AIDS, tuberculosis, malaria, and neglected tropical diseases, while also addressing the challenges posed by hepatitis, water-borne diseases, and other communicable diseases.","By 2030, end epidemics of major diseases, including AIDS, tuberculosis, malaria, and neglected tropical diseases.",,"3.3.1. Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",
Good Health and Well-Being,3.3.,"By  2030, put an end to the epidemics of AIDS, tuberculosis, malaria, and neglected tropical diseases, while also addressing the challenges posed by hepatitis, water-borne diseases, and other communicable diseases.","By 2030, end epidemics of major diseases, including AIDS, tuberculosis, malaria, and neglected tropical diseases.",,"3.3.2. Tuberculosis incidence per 100,000 population",
Good Health and Well-Being,3.3.,"By  2030, put an end to the epidemics of AIDS, tuberculosis, malaria, and neglected tropical diseases, while also addressing the challenges posed by hepatitis, water-borne diseases, and other communicable diseases.","By 2030, end epidemics of major diseases, including AIDS, tuberculosis, malaria, and neglected tropical diseases.",,"3.3.3. Malaria incidence per 1,000 population",
Good Health and Well-Being,3.3.,"By  2030, put an end to the epidemics of AIDS, tuberculosis, malaria, and neglected tropical diseases, while also addressing the challenges posed by hepatitis, water-borne diseases, and other communicable diseases.","By 2030, end epidemics of major diseases, including AIDS, tuberculosis, malaria, and neglected tropical diseases.",,"3.3.4. Hepatitis B incidence per 100,000 population",
Good Health and Well-Being,3.3.,"By  2030, put an end to the epidemics of AIDS, tuberculosis, malaria, and neglected tropical diseases, while also addressing the challenges posed by hepatitis, water-borne diseases, and other communicable diseases.","By 2030, end epidemics of major diseases, including AIDS, tuberculosis, malaria, and neglected tropical diseases.",,3.3.5. Number of people requiring interventions against neglected tropical diseases,
Good Health and Well-Being,3.4.,"By 2030, decrease premature mortality from non-communicable diseases by one-third through preventive measures, treatment interventions, and the promotion of mental health and overall well-being.",Reduce non-communicable disease mortality.,,"3.4.1. Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",
Good Health and Well-Being,3.4.,"By 2030, decrease premature mortality from non-communicable diseases by one-third through preventive measures, treatment interventions, and the promotion of mental health and overall well-being.",Reduce non-communicable disease mortality.,,3.4.2. Suicide mortality rate,
Good Health and Well-Being,3.5.,"Enhance efforts to prevent and address substance abuse, including the misuse of narcotic drugs and harmful alcohol consumption, through improved prevention measures and effective treatment approaches.",Strengthen substance abuse prevention and treatment efforts.,,"3.5.1. Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",
Good Health and Well-Being,3.5.,"Enhance efforts to prevent and address substance abuse, including the misuse of narcotic drugs and harmful alcohol consumption, through improved prevention measures and effective treatment approaches.",Strengthen substance abuse prevention and treatment efforts.,,3.5.2. Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol,
Good Health and Well-Being,3.6.,"By 2020, reduce by half the worldwide number of fatalities and injuries resulting from road traffic accidents.","By 2020, reduce by half the worldwide number of fatalities and injuries resulting from road traffic accidents.",,3.6.1. Death rate due to road traffic injuries,
Good Health and Well-Being,3.7.,"By  2030, guarantee equal and widespread availability of sexual and reproductive healthcare services, including family planning, comprehensive information, and education, as well as the incorporation of reproductive health within national strategies and programs.",Ensure sexual and reproductive healthcare.,,3.7.1. Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,
Good Health and Well-Being,3.7.,"By  2030, guarantee equal and widespread availability of sexual and reproductive healthcare services, including family planning, comprehensive information, and education, as well as the incorporation of reproductive health within national strategies and programs.",Ensure sexual and reproductive healthcare.,,"3.7.2. Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",
Good Health and Well-Being,3.8.,"Attain universal health coverage for everyone, encompassing financial security, access to high-quality essential healthcare services, and availability of safe, effective, and affordable essential medicines and vaccines for all individuals.","Achieve universal health coverage for all, ensuring access to essential healthcare services and medicines.",,3.8.1. Coverage of essential health services,
Good Health and Well-Being,3.8.,"Attain universal health coverage for everyone, encompassing financial security, access to high-quality essential healthcare services, and availability of safe, effective, and affordable essential medicines and vaccines for all individuals.","Achieve universal health coverage for all, ensuring access to essential healthcare services and medicines.",,3.8.2. Proportion of population with large household expenditures on health as a share of total household expenditure or income,
Good Health and Well-Being,3.9.,"By 2030, significantly decrease the number of fatalities and illnesses caused by dangerous chemicals, as well as mitigate the impact of air, water, and soil pollution and contamination.","By 2030, reduce chemical-related fatalities and illnesses and mitigate pollution impacts on air, water, and soil.",,3.9.1. Mortality rate attributed to household and ambient air pollution,
Good Health and Well-Being,3.9.,"By 2030, significantly decrease the number of fatalities and illnesses caused by dangerous chemicals, as well as mitigate the impact of air, water, and soil pollution and contamination.","By 2030, reduce chemical-related fatalities and illnesses and mitigate pollution impacts on air, water, and soil.",,"3.9.2. Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",
Good Health and Well-Being,3.9.,"By 2030, significantly decrease the number of fatalities and illnesses caused by dangerous chemicals, as well as mitigate the impact of air, water, and soil pollution and contamination.","By 2030, reduce chemical-related fatalities and illnesses and mitigate pollution impacts on air, water, and soil.",,3.9.3. Mortality rate attributed to unintentional poisoning,
Good Health and Well-Being,3.a.,"Enhance the enforcement and application of the World Health Organization Framework Convention on Tobacco Control in all relevant countries, as deemed suitable.",Strengthen enforcement of WHO Framework Convention on Tobacco Control in relevant countries.,,3.a.1. Age-standardized prevalence of current tobacco use among persons aged 15 years and older,
Good Health and Well-Being,3.b.,"Promote and facilitate research and innovation in the field of vaccines and medications for both communicable and non-communicable diseases that disproportionately impact developing nations. Additionally, ensure affordable access to essential medicines and vaccines, aligning with the principles outlined in the Doha Declaration on the Trade-Related Aspects of Intellectual Property Rights (TRIPS) and Public Health.",Ensure affordable access to vaccines and medications for developing nations through innovation and adherence to TRIPS and Public Health.,This declaration emphasizes the rights of developing countries to utilize the flexibilities provided in the TRIPS agreement to safeguard public health. It particularly emphasizes the importance of ensuring access to medicines for all individuals.,3.b.1. Proportion of the target population covered by all vaccines included in their national programme,
Good Health and Well-Being,3.b.,"Promote and facilitate research and innovation in the field of vaccines and medications for both communicable and non-communicable diseases that disproportionately impact developing nations. Additionally, ensure affordable access to essential medicines and vaccines, aligning with the principles outlined in the Doha Declaration on the Trade-Related Aspects of Intellectual Property Rights (TRIPS) and Public Health.",Ensure affordable access to vaccines and medications for developing nations through innovation and adherence to TRIPS and Public Health.,This declaration emphasizes the rights of developing countries to utilize the flexibilities provided in the TRIPS agreement to safeguard public health. It particularly emphasizes the importance of ensuring access to medicines for all individuals.,3.b.2. Total net official development assistance to medical research and basic health sectors,
Good Health and Well-Being,3.b.,"Promote and facilitate research and innovation in the field of vaccines and medications for both communicable and non-communicable diseases that disproportionately impact developing nations. Additionally, ensure affordable access to essential medicines and vaccines, aligning with the principles outlined in the Doha Declaration on the Trade-Related Aspects of Intellectual Property Rights (TRIPS) and Public Health.",Ensure affordable access to vaccines and medications for developing nations through innovation and adherence to TRIPS and Public Health.,This declaration emphasizes the rights of developing countries to utilize the flexibilities provided in the TRIPS agreement to safeguard public health. It particularly emphasizes the importance of ensuring access to medicines for all individuals.,3.b.3. Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,
Good Health and Well-Being,3.c.,"Significantly augment health funding and prioritize the recruitment, advancement, training, and retention of healthcare professionals in developing nations, particularly in least developed countries and small island developing states.",Increase health funding and prioritize healthcare workforce development in developing nations.,,3.c.1. Health worker density and distribution,
Good Health and Well-Being,3.d.,"Enhance the capabilities of all nations, with a particular focus on developing countries, to strengthen early warning systems, mitigate risks, and manage health threats at both national and global levels.","Strengthen global health capabilities in all nations, particularly in developing countries.",,3.d.1. International Health Regulations (IHR) capacity and health emergency preparedness,
Good Health and Well-Being,3.d.,"Enhance the capabilities of all nations, with a particular focus on developing countries, to strengthen early warning systems, mitigate risks, and manage health threats at both national and global levels.","Strengthen global health capabilities in all nations, particularly in developing countries.",,3.d.2. Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,
Quality Education,4.1.,"By 2030, ensure the achievement of universal, free, fair, and high-quality primary and secondary education for all girls and boys. This education should result in relevant and effective learning outcomes for students.",Achieve quality education for all.,,"4.1.1. Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",
Quality Education,4.1.,"By 2030, ensure the achievement of universal, free, fair, and high-quality primary and secondary education for all girls and boys. This education should result in relevant and effective learning outcomes for students.",Achieve quality education for all.,,"4.1.2. Completion rate (primary education, lower secondary education, upper secondary education)",
Quality Education,4.2.,"Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex","Proportion of children aged 24–59 months on track in health, learning, and psychosocial well-being, by sex.",,"4.2.1. Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",
Quality Education,4.2.,"Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex","Proportion of children aged 24–59 months on track in health, learning, and psychosocial well-being, by sex.",,"4.2.2. Participation rate in organized learning (one year before the official primary entry age), by sex",
Quality Education,4.3.,"By 2030, guarantee equal opportunities for women and men to avail affordable and high-quality technical, vocational, and higher education, including university-level education.","By 2030, ensure equal opportunities in education for all genders.",,"4.3.1. Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",
Quality Education,4.4.,"By 2030, significantly enhance the number of young people and adults equipped with relevant skills, including technical and vocational competencies, to foster employment, secure decent jobs, and promote entrepreneurship.","By 2030, boost skills and vocational training for employment and entrepreneurship.",,"4.4.1. Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",
Quality Education,4.5.,"By  2030, eradicate gender inequalities in education and ensure equal access for all individuals, including vulnerable groups such as persons with disabilities, indigenous peoples, and children in precarious circumstances, to all levels of education and vocational training.","By 2030, achieve gender equality and inclusive education for all, including vulnerable groups.",,"4.5.1. Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",
Quality Education,4.6.,"By 2030, guarantee that every young person and a significant portion of adults, regardless of gender, attain proficiency in reading, writing, and basic arithmetic skills.","By 2030, ensure universal literacy and numeracy for all.",,"4.6.1. Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",
Quality Education,4.7.,"By 2030, guarantee that all individuals attain the necessary knowledge and competencies to advance sustainable development.","By 2030, ensure education for sustainable development for all.","This encompasses various aspects such as education for sustainable development, fostering sustainable lifestyles, promoting human rights, achieving gender equality, advocating for peace and non-violence, nurturing global citizenship, and fostering an appreciation for cultural diversity and the role of culture in sustainable development.",4.7.1. Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education and (d) student assessment,
Quality Education,4.a.,"Construct and improve educational infrastructures that are considerate of the needs of children, individuals with disabilities, and different genders. ","Build inclusive educational infrastructures for all, considering diverse needs.","These facilities should provide secure, non-violent, inclusive, and effective learning environments that accommodate all students.","4.a.1. Proportion of schools offering basic services, by type of service",
Quality Education,4.b.,"By 2020, significantly increase the global number of scholarships to developing nations, with a specific emphasis on least developed countries, small island developing states, and African countries.","Boost scholarships to developing nations, with a focus on least developed, island states, and African countries by 2020.","These scholarships aim to facilitate enrollment in higher education, including vocational training, information and communications technology, technical, engineering, and scientific programs, both in developed countries and other developing nations.",4.b.1. Volume of official development assistance flows for scholarships by sector and type of study,
Quality Education,4.c.,"By  2030, significantly enhance the availability of qualified teachers, particularly in least developed countries, through international collaboration aimed at providing teacher training.","By 2030, improve teacher availability, especially in least developed countries, through global collaboration and training.",,"4.c.1. Proportion of teachers with the minimum required qualifications, by education level",
Gender Equality,5.1.,"By 2030, put an end to all forms of discrimination against women and girls worldwide.","By 2030, end all discrimination against women and girls globally.",,"5.1.1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",
Gender Equality,5.2.,"Eradicate all types of violence against women and girls in both public and private spheres, including human trafficking and various forms of exploitation.","End all violence against women and girls, including trafficking and exploitation.",,"5.2.1. Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",
Gender Equality,5.2.,"Eradicate all types of violence against women and girls in both public and private spheres, including human trafficking and various forms of exploitation.","End all violence against women and girls, including trafficking and exploitation.",,"5.2.2. Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",
Gender Equality,5.3.,"Eliminate harmful practices like child, early, and forced marriages, as well as female genital mutilation.","End child, early, and forced marriages, and eliminate female genital mutilation.",,5.3.1. Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,
Gender Equality,5.3.,"Eliminate harmful practices like child, early, and forced marriages, as well as female genital mutilation.","End child, early, and forced marriages, and eliminate female genital mutilation.",,"5.3.2. Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",
Gender Equality,5.4.,"Acknowledge and value unpaid care and domestic work by providing public services, infrastructure, and social protection policies, while promoting shared responsibility within households and families according to national contexts.",Promote shared responsibility in households for unpaid care and domestic work through public services and social protection.,,"5.4.1. Proportion of time spent on unpaid domestic and care work, by sex, age and location",
Gender Equality,5.5.,"Ensure full and effective participation of women and equal opportunities for leadership in all levels of decision-making in political, economic, and public domains.",Ensure women's full and equal participation in leadership and decision-making at all levels.,,5.5.1. Proportion of seats held by women in (a) national parliaments and (b) local governments,
Gender Equality,5.5.,"Ensure full and effective participation of women and equal opportunities for leadership in all levels of decision-making in political, economic, and public domains.",Ensure women's full and equal participation in leadership and decision-making at all levels.,,5.5.2. Proportion of women in managerial positions,
Gender Equality,5.6.,"Guarantee universal access to sexual and reproductive health and reproductive rights, in line with the agreements made in the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action, and the outcomes of their review conferences.","Ensure universal access to sexual and reproductive health and rights, as agreed in international conferences and reviews.",,"5.6.1. Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",
Gender Equality,5.6.,"Guarantee universal access to sexual and reproductive health and reproductive rights, in line with the agreements made in the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action, and the outcomes of their review conferences.","Ensure universal access to sexual and reproductive health and rights, as agreed in international conferences and reviews.",,"5.6.2. Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",
Gender Equality,5.a.,"Implement reforms to grant women equal rights to economic resources, as well as access to ownership and control over land, property, financial services, inheritance, and natural resources, following national laws.","Ensure women's equal rights to economic resources, land, property, financial services, and inheritance as per national laws.",,"5.a.1. (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",
Gender Equality,5.a.,"Implement reforms to grant women equal rights to economic resources, as well as access to ownership and control over land, property, financial services, inheritance, and natural resources, following national laws.","Ensure women's equal rights to economic resources, land, property, financial services, and inheritance as per national laws.",,5.a.2. Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,
Gender Equality,5.b.,"Promote the use of enabling technology, especially information and communications technology, to empower women.","Promote the use of enabling technology, especially information and communications technology, to empower women.",,"5.b.1. Proportion of individuals who own a mobile telephone, by sex",
Gender Equality,5.c.,Adopt and reinforce sound policies and enforceable legislation to promote gender equality and empower women and girls at all levels.,Promote policies and laws for gender equality and empowerment.,,5.c.1. Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,
Clean Water and Sanitation,6.1.,"By the year 2030, ensure that everyone has access to safe and affordable drinking water in a fair and inclusive manner.","By 2030, ensure universal access to safe and affordable drinking water.",,6.1.1. Proportion of population using safely managed drinking water services,
Clean Water and Sanitation,6.2.,"By 2030, ensure access to adequate and fair sanitation and hygiene for all individuals, putting an end to open defecation, with particular attention to addressing the needs of women, girls, and vulnerable populations.","By 2030, achieve universal access to sanitation and hygiene, addressing women, girls, and vulnerable populations.",,6.2.1. Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,
Clean Water and Sanitation,6.3.,"By 2030, enhance water quality globally by reducing pollution, eliminating dumping of hazardous chemicals and materials, significantly decreasing untreated wastewater, and substantially increasing water recycling and safe reuse.","Improve global water quality by reducing pollution, waste, and increasing recycling by 2030.",,6.3.1. Proportion of domestic and industrial wastewater flows safely treated,
Clean Water and Sanitation,6.3.,"By 2030, enhance water quality globally by reducing pollution, eliminating dumping of hazardous chemicals and materials, significantly decreasing untreated wastewater, and substantially increasing water recycling and safe reuse.","Improve global water quality by reducing pollution, waste, and increasing recycling by 2030.",,6.3.2. Proportion of bodies of water with good ambient water quality,
